date,area,marketId,location,sourceType,commodityKey,commodity,brand,productName,size,unit,price,priceType,stockStatus,confidence,observedAt,address,sourceUrl
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,25000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,cabai-besar,Cabai merah besar,Komoditas pasar,Cabai merah besar,1 kg,kg,28000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,48000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,30000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,cabai-keriting,Cabai merah keriting,Komoditas pasar,Cabai merah keriting,1 kg,kg,51000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,64000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,65000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,cabai-rawit,Cabai rawit merah,Komoditas pasar,Cabai rawit merah,1 kg,kg,65000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,17500,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,17000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,gula,Gula kristal putih,Komoditas pasar,Gula kristal putih,1 kg,kg,17500,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,lpg,LPG 3 kg,Komoditas pasar,LPG 3 kg,1 tabung,tabung,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,lpg,LPG 3 kg,Komoditas pasar,LPG 3 kg,1 tabung,tabung,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
2026-09-26,gresik,123,Pasar Sidomoro,pasar rakyat,lpg,LPG 3 kg,Komoditas pasar,LPG 3 kg,1 tabung,tabung,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Sidomoro, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=123
2026-09-26,gresik,45,Pasar Baru,pasar rakyat,minyak-curah,Minyak goreng curah,Komoditas pasar,Minyak goreng curah,1 kg,kg,20000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Baru, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=45
2026-09-26,gresik,46,Pasar Kota,pasar rakyat,minyak-curah,Minyak goreng curah,Komoditas pasar,Minyak goreng curah,1 kg,kg,14000,survei,terpantau,resmi-pasar,2026-09-26,"Pasar Kota, Kabupaten Gresik",https://siskaperbapo.indagjatim.com/display/show/?tanggal=2026-09-26&kabkota=gresikkab&pasar=46
